index,sent_at
0,2023-06-07 18:21:53.530624
1,2023-06-07 18:21:53.553859
2,2023-06-07 18:21:53.574204
3,2023-06-07 18:21:53.609399
4,2023-06-07 18:21:53.630230
5,2023-06-07 18:21:53.663778
6,2023-06-07 18:21:53.693879
7,2023-06-07 18:21:53.715880
8,2023-06-07 18:21:53.744120
9,2023-06-07 18:21:53.773211
10,2023-06-07 18:21:53.792654
11,2023-06-07 18:21:53.818517
12,2023-06-07 18:21:53.838860
13,2023-06-07 18:21:53.872075
14,2023-06-07 18:21:53.901126
15,2023-06-07 18:21:53.921919
16,2023-06-07 18:21:53.945176
17,2023-06-07 18:21:53.978927
18,2023-06-07 18:21:54.004439
19,2023-06-07 18:21:54.028116
20,2023-06-07 18:21:54.053113
21,2023-06-07 18:21:54.084434
22,2023-06-07 18:21:54.104077
23,2023-06-07 18:21:54.122390
24,2023-06-07 18:21:54.153108
25,2023-06-07 18:21:54.185611
26,2023-06-07 18:21:54.213125
27,2023-06-07 18:21:54.235945
28,2023-06-07 18:21:54.263930
29,2023-06-07 18:21:54.295386
30,2023-06-07 18:21:54.313896
31,2023-06-07 18:21:54.348741
32,2023-06-07 18:21:54.370103
33,2023-06-07 18:21:54.389350
34,2023-06-07 18:21:54.410455
35,2023-06-07 18:21:54.430621
36,2023-06-07 18:21:54.462075
37,2023-06-07 18:21:54.489008
38,2023-06-07 18:21:54.516164
39,2023-06-07 18:21:54.535998
40,2023-06-07 18:21:54.569043
41,2023-06-07 18:21:54.590936
42,2023-06-07 18:21:54.610122
43,2023-06-07 18:21:54.627862
44,2023-06-07 18:21:54.647887
45,2023-06-07 18:21:54.679289
46,2023-06-07 18:21:54.699145
47,2023-06-07 18:21:54.733182
48,2023-06-07 18:21:54.751587
49,2023-06-07 18:21:54.778247
50,2023-06-07 18:21:54.797423
51,2023-06-07 18:21:54.818283
52,2023-06-07 18:21:54.846351
53,2023-06-07 18:21:54.873531
54,2023-06-07 18:21:54.902439
55,2023-06-07 18:21:54.931548
56,2023-06-07 18:21:54.949524
57,2023-06-07 18:21:54.968962
58,2023-06-07 18:21:54.996129
59,2023-06-07 18:21:55.024996
60,2023-06-07 18:21:55.053970
61,2023-06-07 18:21:55.085689
62,2023-06-07 18:21:55.104380
63,2023-06-07 18:21:55.126661
64,2023-06-07 18:21:55.156973
65,2023-06-07 18:21:55.189954
66,2023-06-07 18:21:55.216102
67,2023-06-07 18:21:55.242617
68,2023-06-07 18:21:55.265060
69,2023-06-07 18:21:55.320034
70,2023-06-07 18:21:55.379892
71,2023-06-07 18:21:55.399611
72,2023-06-07 18:21:55.427993
73,2023-06-07 18:21:55.450336
74,2023-06-07 18:21:55.477826
