1 : 43521 | Magnitude: 24801.51953125 | Phase_angle: -43.83126709279069
2 : 43521 | Magnitude: 24801.2109375 | Phase_angle: -43.67082594918709
3 : 43521 | Magnitude: 24800.615234375 | Phase_angle: -43.53328984496513
4 : 43521 | Magnitude: 24801.599609375 | Phase_angle: -39.75180342231176
5 : 43521 | Magnitude: 24801.515625 | Phase_angle: -39.54552146409362
6 : 43521 | Magnitude: 24804.251953125 | Phase_angle: -39.78612853798566
7 : 43521 | Magnitude: 24792.55859375 | Phase_angle: -36.64064884027637
8 : 43521 | Magnitude: 24783.435546875 | Phase_angle: -34.69259009652952
9 : 43521 | Magnitude: 24783.232421875 | Phase_angle: -31.86218361013833
10 : 43521 | Magnitude: 24746.634765625 | Phase_angle: -30.308988347593676
11 : 43521 | Magnitude: 24774.16015625 | Phase_angle: -29.427111888002067
12 : 43521 | Magnitude: 24773.115234375 | Phase_angle: -29.009083820229776
13 : 43521 | Magnitude: 24764.978515625 | Phase_angle: -27.91449648686375
14 : 43521 | Magnitude: 24758.134765625 | Phase_angle: -27.01491276184888
15 : 43521 | Magnitude: 24790.619140625 | Phase_angle: -24.70750069039474
16 : 43521 | Magnitude: 24792.4375 | Phase_angle: -20.46630326301178
17 : 43521 | Magnitude: 24767.416015625 | Phase_angle: -19.537394120795465
18 : 43521 | Magnitude: 24774.189453125 | Phase_angle: -14.942737818958934
19 : 43521 | Magnitude: 24773.029296875 | Phase_angle: -14.501550287258421
20 : 43521 | Magnitude: 24770.76953125 | Phase_angle: -14.725010171239145
21 : 43521 | Magnitude: 24776.33203125 | Phase_angle: -12.066538329277394
22 : 43521 | Magnitude: 24772.974609375 | Phase_angle: -12.077937061228498
23 : 43521 | Magnitude: 24774.130859375 | Phase_angle: -10.943492158960863
24 : 43521 | Magnitude: 24774.044921875 | Phase_angle: -10.731488209765546
25 : 43521 | Magnitude: 24771.87109375 | Phase_angle: -10.490845277380364
26 : 43521 | Magnitude: 24769.638671875 | Phase_angle: -11.172779048077253
27 : 43521 | Magnitude: 24764.978515625 | Phase_angle: -7.866706235055329
28 : 43521 | Magnitude: 24783.318359375 | Phase_angle: -3.873444674543836
29 : 43521 | Magnitude: 24755.943359375 | Phase_angle: -2.933541062197912
30 : 43521 | Magnitude: 24765.005859375 | Phase_angle: -1.0828864722658536
31 : 43521 | Magnitude: 24774.072265625 | Phase_angle: 0.9854919234045857
32 : 43521 | Magnitude: 24783.34765625 | Phase_angle: 2.2001618797856635
33 : 43521 | Magnitude: 24783.31640625 | Phase_angle: 4.789932263980841
34 : 43521 | Magnitude: 24783.31640625 | Phase_angle: 8.027140548469758
35 : 43521 | Magnitude: 24783.31640625 | Phase_angle: 8.256332668711414
36 : 43521 | Magnitude: 24783.228515625 | Phase_angle: 9.155871143723031
37 : 43521 | Magnitude: 24783.37890625 | Phase_angle: 10.370271947962129
38 : 43521 | Magnitude: 24772.974609375 | Phase_angle: 10.771619840007602
39 : 43521 | Magnitude: 24767.47265625 | Phase_angle: 12.891603836673777
40 : 43521 | Magnitude: 24763.818359375 | Phase_angle: 14.301043253983527
41 : 43521 | Magnitude: 24761.384765625 | Phase_angle: 14.089050403845611
42 : 43521 | Magnitude: 24758.775390625 | Phase_angle: 13.653508023494116
43 : 43521 | Magnitude: 24779.146484375 | Phase_angle: 16.804104386665394
44 : 43521 | Magnitude: 24832.01953125 | Phase_angle: 19.07761481417418
45 : 43521 | Magnitude: 24762.603515625 | Phase_angle: 15.927978946354933
46 : 43521 | Magnitude: 24778.115234375 | Phase_angle: 15.28633390025101
47 : 43521 | Magnitude: 24808.779296875 | Phase_angle: 14.205558916934041
48 : 43521 | Magnitude: 24769.8671875 | Phase_angle: 18.6375815844434
49 : 43521 | Magnitude: 24783.380859375 | Phase_angle: 18.236967083960057
50 : 43521 | Magnitude: 24811.037109375 | Phase_angle: 18.499669819817086
51 : 43521 | Magnitude: 24848.04296875 | Phase_angle: 18.77292690548908
52 : 43521 | Magnitude: 24894.4609375 | Phase_angle: 19.056386586233778
53 : 43521 | Magnitude: 24765.103515625 | Phase_angle: 21.646351630820302
54 : 43521 | Magnitude: 24765.404296875 | Phase_angle: 21.9328405004619
55 : 43521 | Magnitude: 24766.01953125 | Phase_angle: 22.236522663791714
56 : 43521 | Magnitude: 24767.068359375 | Phase_angle: 22.55738787552599
57 : 43521 | Magnitude: 24764.947265625 | Phase_angle: 23.743376800365127
58 : 43521 | Magnitude: 24765.005859375 | Phase_angle: 26.207094335880424
59 : 43521 | Magnitude: 24783.228515625 | Phase_angle: 27.347046078166382
60 : 43521 | Magnitude: 24728.443359375 | Phase_angle: 28.149968966047233
61 : 43521 | Magnitude: 24701.048828125 | Phase_angle: 31.48464831886046
62 : 43521 | Magnitude: 24737.5390625 | Phase_angle: 33.328956489114816
63 : 43521 | Magnitude: 24737.5390625 | Phase_angle: 33.569611374331046
64 : 43521 | Magnitude: 24744.78125 | Phase_angle: 34.944426001417064
65 : 43521 | Magnitude: 24736.35546875 | Phase_angle: 34.50926098901721
66 : 43521 | Magnitude: 24710.107421875 | Phase_angle: 35.89034914485588
67 : 43521 | Magnitude: 24746.69140625 | Phase_angle: 39.78568457568961
68 : 43521 | Magnitude: 24717.923828125 | Phase_angle: 40.24456058979316
69 : 43521 | Magnitude: 24739.701171875 | Phase_angle: 40.34273772892293
70 : 43521 | Magnitude: 24719.197265625 | Phase_angle: 44.175047589190356
71 : 43521 | Magnitude: 24690.484375 | Phase_angle: 44.67382898351971
72 : 43521 | Magnitude: 24731.123046875 | Phase_angle: 45.88758091978765
73 : 43521 | Magnitude: 24746.76171875 | Phase_angle: 46.15122963684473
